customer_id,Username,Password,Eye Color,Age
1,TG,osanc!,Black,18
2,HK,akjnkac;,Green,30
3,SM,akncakmconm=,Blue,22
4,AO,ncjdiwjeiwn,Brown,50
5,MU,12348ejbncj,Black,22
6,TR,cn78w;,Green,23
7,VL,cowin!^^,Blue,24
8,VM,cinei8::,Brown,60
9,LS,Scnxs:976235,Black,44
10,MB,16skjcn>,Green,18
11,LS,Jjjjj((88,Blue,21
12,ML,oahdiw!,Brown,29
13,MR,",jjjsad,",Black,30
14,CM,fr567ujki8ztfdse;,Green,31
15,AU,ad;ad678;,Blue,21
16,OD,56783423456,Brown,33
17,HG,aaaaa,Black,51
18,RD,bbbbbb,Green,35
19,RM,765434567hjikjkjk;,Blue,36
20,KH,212200ow,Brown,37
21,TA,168fertzuhj,Black,38
22,SB,;kk;;kkk,Green,19
23,FD,Rtzut.!!!,Blue,40
24,OA,Daugdaudg!232,Brown,55
25,PT,78iz78uz7uz7uz,Black,42
26,MK,e3ew3ew3ew,Green,19
27,JJ,ii9i9i9i9i9,Blue,44
28,PS,q1q1q1qq,Brown,25
29,KC,6t6t6t6t6t6,Blue,46
30,RR,6taaaaa!,Red,32
